"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"127";"2001_60_gjerøy";"2001_60";60;"2001_gjerøy";2001;"gjerøy";26;2;1999;"no";"obs";NA;NA;1;59;59;4.07753744390572;1;1
"128";"2002_60_gjerøy";"2002_60";60;"2002_gjerøy";2002;"gjerøy";26;3;1999;"no";"obs";"capt";NA;0;52;52;3.95124371858143;1;1
"129";"2000_61_gjerøy";"2000_61";61;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";NA;NA;0;67;67;4.20469261939097;1;1
"130";"2000_62_sleneset";"2000_62";62;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;60;60;4.0943445622221;0;1
"131";"2000_63_sleneset";"2000_63";63;"2000_sleneset";2000;"sleneset";35;1;1999;"no";"obs";NA;NA;0;60;60;4.0943445622221;0;0
"132";"2000_64_lurøy-onøy";"2000_64";64;"2000_lurøy-onøy";2000;"lurøy-onøy";33;1;1999;"no";"obs";NA;NA;1;71;71;4.26267987704132;1;1
"133";"2001_64_lurøy-onøy";"2001_64";64;"2001_lurøy-onøy";2001;"lurøy-onøy";33;2;1999;"no";NA;"capt";NA;0;61;61;4.11087386417331;1;1
"134";"2000_65_hestmannøy";"2000_65";65;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;0;121;121;4.79579054559674;1;1
"135";"2000_66_hestmannøy";"2000_66";66;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;0;121;121;4.79579054559674;1;1
"136";"1999_67_hestmannøy";"1999_67";67;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;154;154;5.03695260241363;1;0
"137";"1999_68_hestmannøy";"1999_68";68;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;0;154;154;5.03695260241363;1;1
"138";"1999_69_selvær";"1999_69";69;"1999_selvær";1999;"selvær";24;1;1998;"no";"obs";"capt";NA;0;92;92;4.52178857704904;0;0
"139";"2009_70_hestmannøy";"2009_70";70;"2009_hestmannøy";2009;"hestmannøy";27;2;2007;"no";NA;"capt";NA;1;157;157;5.05624580534831;1;0
"140";"2010_70_hestmannøy";"2010_70";70;"2010_hestmannøy";2010;"hestmannøy";27;3;2007;"no";NA;"capt";NA;0;214;214;5.36597601502185;1;0
"141";"2008_71_hestmannøy";"2008_71";71;"2008_hestmannøy";2008;"hestmannøy";27;1;2007;"no";"obs";"capt";NA;0;153;153;5.03043792139244;1;0
"142";"2008_72_hestmannøy";"2008_72";72;"2008_hestmannøy";2008;"hestmannøy";27;1;2007;"no";"obs";NA;NA;0;153;153;5.03043792139244;1;1
"143";"2008_73_hestmannøy";"2008_73";73;"2008_hestmannøy";2008;"hestmannøy";27;1;2007;"no";NA;"capt";NA;1;153;153;5.03043792139244;1;1
"144";"2009_73_hestmannøy";"2009_73";73;"2009_hestmannøy";2009;"hestmannøy";27;2;2007;"no";"obs";"capt";NA;1;157;157;5.05624580534831;1;1
"145";"2010_73_hestmannøy";"2010_73";73;"2010_hestmannøy";2010;"hestmannøy";27;3;2007;"no";"obs";"capt";NA;1;214;214;5.36597601502185;1;1
"146";"2011_73_hestmannøy";"2011_73";73;"2011_hestmannøy";2011;"hestmannøy";27;4;2007;"gene_new";NA;NA;"gene_new";0;283;283;5.64544689764324;1;1
"147";"2008_74_gjerøy";"2008_74";74;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;1;1
"148";"2009_74_gjerøy";"2009_74";74;"2009_gjerøy";2009;"gjerøy";26;2;2007;"yes";NA;NA;NA;1;107;107;4.67282883446191;1;1
"149";"2010_74_gjerøy";"2010_74";74;"2010_gjerøy";2010;"gjerøy";26;3;2007;"no";"obs";NA;NA;0;136;136;4.91265488573605;1;1
"150";"2008_75_gjerøy";"2008_75";75;"2008_gjerøy";2008;"gjerøy";26;1;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;1;0
"151";"2008_76_indre kvarøy";"2008_76";76;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";"obs";NA;NA;0;68;68;4.21950770517611;1;1
"152";"2008_77_indre kvarøy";"2008_77";77;"2008_indre kvarøy";2008;"indre kvarøy";28;1;2007;"no";NA;"capt";NA;0;68;68;4.21950770517611;1;0
