"stage";"Year";"Location";"total"
"522";"nest";2014;"indre kvarøy";85
"523";"nest";2014;"lovund";56
"524";"nest";2014;"nesøy";28
"525";"nest";2014;"selvær";128
"526";"nest";2014;"sleneset";92
"527";"nest";2014;"træna";161
"528";"nest";2015;"gjerøy";20
"529";"nest";2015;"hestmannøy";51
"530";"nest";2015;"indre kvarøy";68
"531";"nest";2015;"lovund";40
"532";"nest";2015;"myken";10
"533";"nest";2015;"nesøy";8
"534";"nest";2015;"selvær";129
"535";"nest";2015;"sleneset";68
"536";"nest";2015;"træna";181
"537";"nest";2016;"aldra";9
"538";"nest";2016;"gjerøy";13
"539";"nest";2016;"hestmannøy";40
"540";"nest";2016;"indre kvarøy";75
"541";"nest";2016;"lovund";44
"542";"nest";2016;"myken";27
"543";"nest";2016;"nesøy";17
"544";"nest";2016;"selvær";63
"545";"nest";2016;"sleneset";85
"546";"nest";2016;"træna";132
"547";"nest";2017;"aldra";5
"548";"nest";2017;"gjerøy";2
"549";"nest";2017;"hestmannøy";95
"550";"nest";2017;"indre kvarøy";73
"551";"nest";2017;"lovund";70
"552";"nest";2017;"myken";10
"553";"nest";2017;"nesøy";43
"554";"nest";2017;"selvær";51
"555";"nest";2017;"sleneset";91
"556";"nest";2017;"træna";137
"557";"nest";2018;"aldra";1
"558";"nest";2018;"gjerøy";42
"559";"nest";2018;"hestmannøy";130
"560";"nest";2018;"indre kvarøy";45
"561";"nest";2018;"lovund";94
"562";"nest";2018;"myken";24
"563";"nest";2018;"nesøy";96
"564";"nest";2018;"selvær";148
"565";"nest";2018;"sleneset";173
"566";"nest";2018;"træna";170
"567";"nest";2019;"gjerøy";29
"568";"nest";2019;"hestmannøy";181
"569";"nest";2019;"indre kvarøy";32
"570";"nest";2019;"lovund";33
"571";"nest";2019;"myken";5
"572";"nest";2019;"nesøy";31
"573";"nest";2019;"selvær";40
"574";"nest";2019;"sleneset";91
